,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,2,164,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102,5500,24,30,13950
1,2,164,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,115,5500,18,22,17450
2,1,158,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17710
3,1,158,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,23875
4,2,192,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430
5,0,192,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925
6,0,188,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9.0,121,4250,21,28,20970
7,0,188,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9.0,121,4250,21,28,21105
8,2,121,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,5151
9,1,98,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,6295
10,0,81,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,6575
11,1,118,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,5572
12,1,118,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,6377
13,1,118,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957
14,1,148,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229
15,1,148,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,6692
16,1,148,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7609
17,-1,110,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,8921
18,3,145,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7.0,145,5000,19,24,12964
19,2,137,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,6479
20,2,137,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,6855
21,1,101,93.7,150.0,64.0,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,5399
22,1,101,93.7,150.0,64.0,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,6529
23,1,101,93.7,150.0,64.0,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,7129
24,0,110,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,7295
25,0,78,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,7295
26,0,106,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9.0,86,5800,27,33,7895
27,0,106,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9.0,86,5800,27,33,9095
28,0,85,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9.0,86,5800,27,33,8845
29,0,85,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9.0,86,5800,27,33,10295
30,0,85,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,12945
31,1,107,96.5,169.1,66.0,51.0,2293,110,3.15,3.58,9.1,100,5500,25,31,10345
32,0,145,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,32250
33,1,104,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9.0,68,5000,30,31,5195
34,1,104,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9.0,68,5000,31,38,6095
35,1,104,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9.0,68,5000,31,38,6795
36,1,113,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9.0,68,5000,31,38,6695
37,1,113,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9.0,68,5000,31,38,7395
38,1,129,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,8845
39,0,115,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,8495
40,1,129,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,10595
41,0,115,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,10245
42,0,115,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,11245
43,0,118,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,18280
44,-1,93,110.0,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,25552
45,-1,93,110.0,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,28248
46,0,93,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,28176
47,-1,93,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,31600
48,3,142,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,35056
49,2,161,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,5389
50,2,161,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,6189
51,2,161,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,6669
52,1,161,93.0,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,7689
53,3,153,96.3,173.0,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,9959
54,3,153,96.3,173.0,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,8499
55,1,125,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,6989
56,1,125,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,8189
57,1,125,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279
58,-1,137,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279
59,1,128,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,5499
60,1,128,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,7099
61,1,128,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37,6649
62,1,122,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,6849
63,1,103,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,7349
64,1,128,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,7299
65,1,128,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,7799
66,1,122,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37,7499
67,1,103,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,7999
68,2,168,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,8249
69,0,106,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,8949
70,0,106,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,9549
71,0,128,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9.0,152,5200,17,22,13499
72,0,108,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9.0,152,5200,17,22,14399
73,0,108,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9.0,152,5200,19,25,13499
74,3,194,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9.0,160,5200,19,25,17199
75,3,194,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,19699
76,1,231,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9.0,160,5200,19,25,18399
77,0,161,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,11900
78,0,161,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21.0,95,4150,28,33,13200
79,0,161,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,15580
80,0,161,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,16900
81,0,161,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24,16630
82,0,161,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,17950
83,0,161,108.0,186.7,68.3,56.0,3130,134,3.61,3.21,7.0,142,5600,18,24,18150
84,1,119,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41,5572
85,1,119,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957
86,1,154,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229
87,1,154,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38,6692
88,1,154,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38,7609
89,-1,74,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30,8921
90,3,186,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27,22018
91,3,150,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,11850
92,2,104,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,12170
93,3,150,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,15040
94,2,104,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,15510
95,3,150,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9.0,160,5500,19,26,18150
96,2,104,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9.0,160,5500,19,26,18620
97,2,83,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9.0,69,4900,31,36,5118
98,2,83,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,7053
99,2,83,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,7603
100,0,102,97.2,172.0,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,7126
101,0,102,97.2,172.0,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,7775
102,0,102,97.2,172.0,65.4,52.5,2340,108,3.62,2.64,9.0,94,5200,26,32,9960
103,0,102,97.0,172.0,65.4,54.3,2385,108,3.62,2.64,9.0,82,4800,24,25,9233
104,0,102,97.0,172.0,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29,11259
105,0,89,97.0,173.5,65.4,53.0,2290,108,3.62,2.64,9.0,82,4800,28,32,7463
106,0,89,97.0,173.5,65.4,53.0,2455,108,3.62,2.64,9.0,94,5200,25,31,10198
107,0,85,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9.0,82,4800,23,29,8013
108,0,85,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23,11694
109,1,87,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9.0,62,4800,35,39,5348
110,1,87,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9.0,62,4800,31,38,6338
111,1,74,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9.0,62,4800,31,38,6488
112,0,77,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9.0,62,4800,31,37,6918
113,0,81,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9.0,62,4800,27,32,7898
114,0,91,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9.0,62,4800,27,32,8778
115,0,91,95.7,166.3,64.4,53.0,2081,98,3.19,3.03,9.0,70,4800,30,37,6938
116,0,91,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9.0,70,4800,30,37,7198
117,0,91,95.7,166.3,64.4,53.0,2275,110,3.27,3.35,22.5,56,4500,34,36,7898
118,0,91,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47,7788
119,0,91,95.7,166.3,64.4,53.0,2094,98,3.19,3.03,9.0,70,4800,38,47,7738
120,0,91,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9.0,70,4800,28,34,8358
121,0,91,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9.0,70,4800,28,34,9258
122,1,168,94.5,168.7,64.0,52.6,2169,98,3.19,3.03,9.0,70,4800,29,34,8058
123,1,168,94.5,168.7,64.0,52.6,2204,98,3.19,3.03,9.0,70,4800,29,34,8238
124,1,168,94.5,168.7,64.0,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29,9298
125,1,168,94.5,168.7,64.0,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29,9538
126,2,134,98.4,176.2,65.6,52.0,2540,146,3.62,3.5,9.3,116,4800,24,30,8449
127,2,134,98.4,176.2,65.6,52.0,2536,146,3.62,3.5,9.3,116,4800,24,30,9639
128,2,134,98.4,176.2,65.6,52.0,2551,146,3.62,3.5,9.3,116,4800,24,30,9989
129,2,134,98.4,176.2,65.6,52.0,2679,146,3.62,3.5,9.3,116,4800,24,30,11199
130,2,134,98.4,176.2,65.6,52.0,2714,146,3.62,3.5,9.3,116,4800,24,30,11549
131,2,134,98.4,176.2,65.6,53.0,2975,146,3.62,3.5,9.3,116,4800,24,30,17669
132,-1,65,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34,8948
133,-1,65,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33,10698
134,-1,65,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32,9988
135,-1,65,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,27,32,10898
136,-1,65,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32,11248
137,3,197,102.9,183.5,67.7,52.0,2976,171,3.27,3.35,9.3,161,5200,20,24,16558
138,3,197,102.9,183.5,67.7,52.0,3016,171,3.27,3.35,9.3,161,5200,19,24,15998
139,-1,90,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24,15690
140,2,122,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23.0,52,4800,37,46,7775
141,2,122,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9.0,85,5250,27,34,7975
142,2,94,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23.0,52,4800,37,46,7995
143,2,94,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9.0,85,5250,27,34,8195
144,2,94,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9.0,85,5250,27,34,8495
145,2,94,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23.0,68,4500,37,42,9495
146,2,94,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10.0,100,5500,26,32,9995
147,3,256,94.5,165.7,64.0,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,9980
148,-2,103,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,12940
149,-1,74,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28,13415
150,-2,103,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28,15985
151,-1,74,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,5400,24,28,16515
152,-2,103,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,17,22,18420
153,-1,74,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22,18950
154,-1,95,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,23,28,16845
155,-1,95,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25,19045
156,-1,95,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23,21485
157,-1,95,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23.0,106,4800,26,27,22470
158,-1,95,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25,22625
